Time,SurfWaterMass,EruptionRate,TMan,MagMom
2.38,1.525817e-05,1813802000.0,2348.614251,0.0
2.39,1.519282e-05,1806917000.0,2348.428206,0.0
2.4,1.512863e-05,1800067000.0,2348.242527,0.0
2.41,1.50656e-05,1793245000.0,2348.057215,0.0
2.42,1.50037e-05,1786453000.0,2347.872269,0.0
2.43,1.494292e-05,1779695000.0,2347.687688,0.0
2.44,1.488324e-05,1772966000.0,2347.503472,0.0
2.45,1.482465e-05,1766266000.0,2347.319621,0.0
2.46,1.476713e-05,1759597000.0,2347.136135,0.0
2.47,1.471068e-05,1752957000.0,2346.953012,0.0
2.48,1.465527e-05,1746345000.0,2346.770253,0.0
2.49,1.460089e-05,1739765000.0,2346.587857,0.0
2.5,1.454752e-05,1733215000.0,2346.405823,0.0
2.5100000000000002,1.449516e-05,1726692000.0,2346.224152,0.0
2.52,1.444379e-05,1720200000.0,2346.042843,0.0
2.5300000000000002,1.439341e-05,1713735000.0,2345.861896,0.0
2.54,1.434398e-05,1707300000.0,2345.681309,0.0
2.5500000000000003,1.429551e-05,1700892000.0,2345.501083,0.0
2.56,1.424798e-05,1694513000.0,2345.321218,0.0
2.57,1.420138e-05,1688162000.0,2345.141712,0.0
2.58,1.415569e-05,1681841000.0,2344.962565,0.0
2.59,1.411092e-05,1675547000.0,2344.783778,0.0
2.6,1.406703e-05,1669277000.0,2344.605349,0.0
2.61,1.402403e-05,1663037000.0,2344.427278,0.0
2.62,1.39819e-05,1656825000.0,2344.249564,0.0
2.63,1.394063e-05,1650640000.0,2344.072208,0.0
2.64,1.390022e-05,1644483000.0,2343.895209,0.0
2.65,1.386065e-05,1638350000.0,2343.718566,0.0
2.66,1.38219e-05,1632247000.0,2343.542278,0.0
2.67,1.378398e-05,1626167000.0,2343.366347,0.0
2.68,1.374688e-05,1620117000.0,2343.19077,0.0
2.69,1.371057e-05,1614091000.0,2343.015548,0.0
2.7,1.367505e-05,1608090000.0,2342.84068,0.0
2.71,1.364033e-05,1602116000.0,2342.666165,0.0
2.72,1.360637e-05,1596171000.0,2342.492004,0.0
2.73,1.357318e-05,1590249000.0,2342.318195,0.0
2.74,1.354075e-05,1584352000.0,2342.144739,0.0
