_RAJ2000;_DEJ2000;ID;Bmag;e_Bmag;Vmag;e_Vmag;Imag;e_Imag
322.50104;+12.12456;5019144;20.733; 0.025;20.176; 0.022;19.458; 0.030
322.50129;+12.19961;5019146;20.231; 0.011;19.793; 0.013;19.088; 0.019
322.50104;+12.12267;5019149;22.410; 0.046;21.597; 0.037;20.506; 0.051
322.50071;+12.02792;5019150;22.402; 0.059;21.668; 0.043;20.577; 0.046
322.50133;+12.21114;5019151;21.017; 0.024;20.545; 0.023;19.809; 0.026
322.50087;+12.08400;5019153;22.091; 0.039;21.305; 0.033;20.342; 0.060
322.50129;+12.20728;5019154;21.297; 0.021;20.827; 0.025;20.054; 0.040
322.50092;+12.09133;5019155;21.632; 0.017;20.971; 0.016;20.188; 0.032
322.50108;+12.14519;5019156;21.017; 0.022;20.404; 0.021;19.618; 0.036
322.50096;+12.11569;5019157;21.396; 0.018;20.775; 0.021;20.089; 0.031
322.50104;+12.13483;5019159;22.068; 0.040;21.283; 0.035;20.341; 0.050
322.50133;+12.22936;5019160;22.030; 0.020;21.382; 0.019;20.415; 0.047
322.50096;+12.11544;5019161;21.572; 0.018;20.955; 0.021;20.190; 0.044
322.50108;+12.15725;5019162;19.822; 0.025;19.442; 0.029;18.296; 0.035
322.50121;+12.18872;5019164;19.238; 0.011;18.791; 0.015;18.233; 0.019
322.50117;+12.18725;5019165;20.971; 0.021;20.369; 0.022;19.446; 0.033
322.50108;+12.16253;5019168;16.176; 0.006;15.207; 0.007;14.200; 0.010
322.50096;+12.11489;5019169;22.012; 0.030;21.407; 0.032;20.609; 0.044
322.50112;+12.17225;5019170;19.639; 0.024;18.967; 0.028;18.276; 0.031
322.50096;+12.13014;5019172;22.004; 0.037;21.215; 0.029;20.527; 0.050
322.50121;+12.20378;5019175;21.807; 0.027;21.223; 0.031;20.359; 0.040
322.50108;+12.16653;5019176;19.015; 0.042;18.854; 0.029;18.423; 0.045
